ID_PLAN,DS_PLAN,DS_CITY,TAXONOMIES
62567,Circuito de spa en Tyris Spa,Valencia,"Wellness Center, Low Intensity, Regular, Couple, Adults (25-35), Any Moment, Session Based, Spa, Body Treatment"
77573,Aloha Poké: transpórtate a Hawaii,Valencia,"Restaurant, Low Intensity, Regular, Any Profile, Any Age, Lunch, Dinner, Session Based, Healthy Food"
77906,Poké Shop: los healthy bowls de moda,Valencia,"Restaurant, Low Intensity, Regular, Foodie, Any Age, Lunch, Dinner, Session Based, Other Asian Food, Raw Food"
78729,Alenar Bodega mediterránea: menú de lujo,Valencia,"Restaurant, Low Intensity, Special Offer, Foodie, Adults (25-35), Middle-youth (34-45), Dinner, Session Based, Other Mediterranean Food, Valentines Day"
81003,Zalamero Ruzafa Bar: menú para 2 personas en su local,Valencia,"Restaurant, Low Intensity, Special Offer, Couple, Foodie, Any Age, Lunch, Dinner, Session Based, Spanish Food"
84342,Almalibre Açaí House: el mejor açaí de Valencia,Valencia,"Juice, Session Based, Evening, Afternoon, Any Age, Foodie, Regular, Low Intensity, Bar"
88622,Alenar: un esmorzaret gourmet,Valencia,"Restaurant, Low Intensity, Special Offer, Any Profile, Any Age, Morning, Session Based, Sandwich"
92810,La Pappardella: menú degustación a la italiana,Valencia,"Restaurant, Low Intensity, Special Offer, Any Profile, Any Age, Lunch, Dinner, Session Based, Italian Food"
92867,Entrada a la Parroquia de San Nicolás de Bari,Valencia,"Museum, Low Intensity, Special Offer, Tourist, Cultured, Any Age, Morning, Afternoon, Session Based, Museum Visit"
92868,"Recorrido turístico, visita a L'Oceanogràfic y cena",Valencia,"Street, High Intensity, Special Offer, Tourist, Any Age, Dinner, Afternoon, Evening, Session Based, Indian Food, Guided Visit"
93492,Menú degustación 10 en Portolito Centro,Valencia,"Restaurant, Low Intensity, Special Offer, Any Profile, Any Age, Lunch, Dinner, Session Based, Other Mediterranean Food"
94365,Al Pomodoro: menú degustación a la italiana,Valencia,"Restaurant, Low Intensity, Special Offer, Foodie, Any Age, Lunch, Dinner, Session Based, Pizza, Pasta, Italian Food"
94708,Tarjeta Regalo Fever - Valencia,Valencia,"Other Mixed, Low Intensity, Special Offer, Any Profile, Any Age, Any Moment, Timeless, Terror Tour, Valentines Day, Christmas, Mothers Day, Fathers Day"
94714,Tarjeta regalo Candlelight - Valencia,Valencia,"Other Indoors, Low Intensity, Exclusive, Cultured, Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Classical Solo & Ensembles, Candlelight concert, Candlelight Summer, Small Gig, Valentines Day, Christmas, Mothers Day, Fathers Day, Bono Cultural Joven"
95094,Menú tapeo degustación de cocina fusión en Portolito Carmen,Valencia,"Restaurant, Low Intensity, Regular, Any Profile, Any Age, Lunch, Session Based, Spanish Food"
96624,Terraceo con cerveza o sangría y picoteo en Saint Martin's,Valencia,"Pub, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Lunch, Afternoon, Session Based, Chicken, Beer"
97676,Menú degustación 10 vegetariano en Portolito Centro,Valencia,"Restaurant, Low Intensity, Regular, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Lunch, Session Based, Vegetarian, Other Mediterranean Food"
105414,Visita el apasionante Museo de la Seda de Valencia,Valencia,"Museum, Low Intensity, Regular, Cultured, Any Profile, Any Age, Any Moment, Session Based, Museum Visit"
108546,Menú degustación en Portolito Playa,Valencia,"Restaurant, Low Intensity, Regular, Any Profile, Any Age, Evening, Limited Series, Fusion Food"
109767,Hemisfèric: un hipnotizante espectáculo de luz y cine sin colas,Valencia,"Other Indoors, Low Intensity, Exclusive, Any Profile, Any Age, Morning, Afternoon, Evening, Session Based, Mainstream Cinema"
109769,Oceanogràfic de Valencia: Entrada sin colas,Valencia,"Amusement Park, Low Intensity, Regular, Any Profile, Any Age, Morning, Afternoon, Evening, Session Based, Exhibition, Nature Tour"
110471,Candlelight: Tributo a Ludovico en el Hotel Westin,Valencia,"Other Indoors, Low Intensity, Exclusive, Any Profile, Any Age, Evening, One Time Event, Candlelight concert, Small Gig, Bono Cultural Joven"
110473,Candlelight: Tributo a Queen en Hotel Westin,Valencia,"Other Indoors, Low Intensity, Exclusive, Any Profile, Any Age, Evening, One Time Event, Candlelight concert, Small Gig, Bono Cultural Joven"
110638,La Capilla Sixtina de Miguel Ángel: La Exhibición - Lista de espera,Valencia,"Other Indoors, Low Intensity, Exclusive, Any Profile, Any Age, Morning, Afternoon, Evening, Limited Series, Art Gallery, Exhibition"
110918,The Chocolate Factory: adéntrate en el mundo más dulce - Lista de Espera,Valencia,"Other Indoors, Low Intensity, Exclusive, Any Profile, Any Age, Morning, Afternoon, Limited Series, Chocolate, Exhibition"
111695,Entrada sin colas al Oceanogràfic y al Hemisfèric,Valencia,"Museum, Medium Intensity, Regular, Any Profile, Any Age, Morning, Afternoon, Limited Series, Museum Visit"
111696,Oceanogràfic y Museo de las Ciencias: entrada sin colas,Valencia,"Museum, Medium Intensity, Regular, Cultured, Any Profile, Any Age, Morning, Afternoon, Limited Series, Museum Visit"
111719,Bioparc Valencia: entrada con acceso rápido,Valencia,"Nature, Low Intensity, Regular, Parents With Kids, Any Profile, Any Age, Morning, Afternoon, Limited Series, Animals/Zoo"
