ID_PLAN,DS_PLAN,DS_CITY,TAXONOMIES
79644,Fever Gift Card - Chicago,Chicago,"Other Mixed, Low Intensity, Regular, Any Profile, Any Age, Any Moment, Timeless, Valentines Day, Christmas, Mothers Day, Fathers Day"
79866,Drunk Shakespeare Chicago!,Chicago,"Restaurant, Medium Intensity, Regular, Alternative/Hipster, Hard Party, Young Adults (18-24), Adults (25-35), Evening, Night, Limited Series, Comedy festival, Play"
84889,Candlelight Gift Card - Chicago,Chicago,"Other Indoors, Low Intensity, Exclusive, Cultured, Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Classical Solo & Ensembles, Candlelight concert, Candlelight Summer, Small Gig, Valentines Day, Christmas, Mothers Day, Fathers Day"
89086,Mystery Picnic Date: Self-Guided Foodie Adventure - Chicago,Chicago,"Street, Medium Intensity, Exclusive, Couple, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Morning, Afternoon, Session Based, Wine, Thematic Tour, Valentines Day, Labor Day"
89087,Mystery Picnic with Friends: Self Guided Foodie Adventure - Chicago,Chicago,"Street, Medium Intensity, Regular, Group, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Morning, Afternoon, Session Based, Wine, Thematic Tour, Labor Day"
91530,Spray Paint 'n' Sip Urban Art Workshop,Chicago,"Other Outdoors, Low Intensity, Regular, Cultured, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Afternoon, Evening, Session Based, Creative Course, Black Friday"
91880,Deep-Dish Pizza Tour in Chicago with Local Expert,Chicago,"Restaurant, Low Intensity, Regular, Tourist, Foodie, Any Age, Afternoon, Session Based, Pizza"
91881,The Escape Game Chicago: Epic 60-Minute Adventures,Chicago,"Other Indoors, Low Intensity, Regular, Cultured, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Afternoon, Session Based, Escape Room"
91882,Underground Donut Tour - Chicago's First Donut Tour,Chicago,"Museum, Low Intensity, Regular, Foodie, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Afternoon, Session Based, Museum Visit, Gastronomic Tour, Mothers Day"
91884,Private Sunset Sail on Lake Michigan with Breathtaking Views of Chicago,Chicago,"Boat, Low Intensity, Regular, Soft Party, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Evening, Session Based, Water Sports"
91886,Rosemont Indoor Skydiving: 2 Flights & Certificate,Chicago,"Other Indoors, Medium Intensity, Regular, Sporty, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Afternoon, Session Based, Ziplining"
91888,"Bikes, Bites, and Brews: Chicago's Signature Dishes Bike Tour",Chicago,"Other Mixed, High Intensity, Regular, Group, Tourist, Foodie, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Afternoon, Session Based, Bicycle, Sightseeing Tour, Gastronomic Tour"
92159,Chicago Architecture Center Exhibits Admission,Chicago,"Museum, Low Intensity, Regular, Tourist, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Afternoon, Session Based, Museum Visit"
92163,Offbeat Street Art Tour of Chicago: Urban Graffiti and Murals,Chicago,"Other Outdoors, Medium Intensity, Regular, Tourist, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Morning, Afternoon, Session Based, Sightseeing Tour"
92164,Pizza City USA West Loop Pizza Crawl,Chicago,"Restaurant, Low Intensity, Regular, Foodie, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Afternoon, Session Based, Pizza, Gastronomic Tour"
92166,Chicago Bike Rental,Chicago,"Other Outdoors, Medium Intensity, Regular, Parents With Kids, Sporty, Any Age, Any Moment, Session Based, Bicycle"
92167,Field Museum of Natural History All-Access Pass,Chicago,"Museum, Low Intensity, Regular, Parents With Kids, Group, Student, More Adults (45+), Morning, Afternoon, Evening, Session Based, Museum Visit, Labor Day"
92168,Chicago Loop Scavenger Hunt,Chicago,"Street, Medium Intensity, Regular, Group, Any Age, Any Moment, Session Based, Scavenger Hunt"
92171,Chicago Architecture Center River Cruise,Chicago,"Boat, Low Intensity, Regular, Group, Tourist, Any Age, Afternoon, Session Based, Sightseeing Tour"
92172,Chicago Crime and Mob Tour,Chicago,"Other Outdoors, Low Intensity, Regular, Tourist, Any Age, Afternoon, Session Based, Sightseeing Tour, Valentines Day"
92173,Lincoln Park Indoor Skydiving: 2 Flights & Certificate,Chicago,"Other Indoors, High Intensity, Regular, Sporty, Any Age, Afternoon, Evening, Session Based, Gliding"
92249,Chicago Lake and River Architecture Tour,Chicago,"Boat, Low Intensity, Regular, Tourist, Any Age, Morning, Afternoon, Session Based, Sea Tour, Sightseeing Tour, Mothers Day"
